CustomerID,Customer_Segment,Churn_Probability_Score,Tenure,CityTier,Gender
54023,Loyal,0.99988604,1.0,1,Male
51133,Loyal,0.9988405,0.0,3,Male
50933,Loyal,0.99789053,0.0,3,Female
52094,Loyal,0.99573684,0.0,3,Male
51038,VIP,0.9943738,0.0,3,Male
52353,Loyal,0.9929778,0.0,1,Female
52582,Loyal,0.9918892,0.0,3,Male
53527,Loyal,0.9915657,1.0,3,Female
55540,Loyal,0.9909244,1.0,2,Female
54990,Loyal,0.98806226,1.0,3,Female
51157,Loyal,0.9854709,0.0,3,Male
50569,Loyal,0.98063695,0.0,3,Male
53161,Loyal,0.97587085,1.0,3,Male
55347,Loyal,0.9727898,1.0,3,Male
54953,Loyal,0.9673157,1.0,1,Female
53666,Loyal,0.9630053,19.0,3,Male
54215,Loyal,0.96137726,1.0,3,Female
53487,Loyal,0.96099806,1.0,1,Male
50032,Loyal,0.9556828,0.0,1,Male
55434,Loyal,0.9548914,1.0,1,Female
53751,Loyal,0.94504595,1.0,1,Male
54631,Loyal,0.9425558,1.0,3,Male
55473,Loyal,0.94074225,1.0,2,Male
54454,Loyal,0.9394146,1.0,3,Male
55229,Loyal,0.9344883,1.0,1,Male
54203,Loyal,0.93382835,1.0,1,Male
53671,Loyal,0.9269811,1.0,3,Female
50193,Loyal,0.9215885,15.0,1,Male
54957,Loyal,0.91802484,1.0,1,Male
53749,Loyal,0.9174449,1.0,3,Female
53126,Loyal,0.9159161,1.0,1,Male
54425,Loyal,0.9128569,1.0,1,Male
53698,Loyal,0.9047037,1.0,1,Female
54910,Loyal,0.89884126,16.0,3,Female
53676,Loyal,0.89683574,1.0,1,Male
54263,Loyal,0.8879478,1.0,1,Female
50815,Loyal,0.88706064,0.0,1,Male
53277,Loyal,0.8823065,1.0,1,Male
53299,Loyal,0.8778785,19.0,3,Male
52977,Loyal,0.8548373,8.0,1,Male
50471,Loyal,0.8528096,20.0,1,Male
51043,Loyal,0.84574217,0.0,3,Male
55398,Loyal,0.84407085,1.0,3,Male
52835,Loyal,0.8413995,20.0,1,Female
53008,Loyal,0.82635075,16.0,1,Male
51328,Loyal,0.81645024,13.0,3,Male
54293,Loyal,0.81094563,1.0,3,Female
52920,Loyal,0.8088279,1.0,1,Male
53112,Loyal,0.8047801,1.0,1,Female
54885,Loyal,0.7851326,1.0,1,Female
53619,Loyal,0.7627741,8.0,1,Female
52513,Loyal,0.7554248,0.0,3,Male
50244,Loyal,0.72418857,3.0,3,Male
54202,Loyal,0.72124356,1.0,1,Female
55362,Loyal,0.7151868,1.0,1,Male
50444,Loyal,0.7089558,18.0,1,Male
51673,Loyal,0.70508367,2.0,3,Female
52827,Loyal,0.6865509,12.0,1,Male
53727,Loyal,0.6850246,1.0,1,Male
53259,Loyal,0.66578346,19.0,1,Male
54962,Loyal,0.631428,14.0,3,Male
50861,Loyal,0.6295564,0.0,1,Male
53415,Loyal,0.5969192,1.0,1,Female
52644,Loyal,0.5711921,9.0,1,Female
50484,Loyal,0.5438392,18.0,3,Male
54817,Loyal,0.4780982,1.0,1,Male
55182,Loyal,0.44972834,1.0,3,Male
54190,VIP,0.16443627,20.0,3,Female
